Date,VIX,Log Total Assets,Log Currency in Circulation ($ Bil),Effective Federal Funds Rate (%),Loss Function
2010-01-31,20.64315789,14.62929182,6.82571489,0.11,-33.73595181
2010-02-28,22.54,14.63415527,6.832179808,0.126428571,-33.73095884
2010-03-31,17.7673913,14.64762954,6.837906899,0.164516129,-34.85954965
2010-04-30,17.42428571,14.66083662,6.840604282,0.198333333,-34.96858104
2010-05-31,31.9295,14.66429282,6.843189291,0.200645161,-31.49225924
2010-06-30,29.91636364,14.66458475,6.8473284,0.176666667,-29.35671585
2010-07-31,25.5652381,14.66248915,6.850935955,0.182580645,-29.44081664
2010-08-31,24.74590909,14.65585814,6.852335059,0.189354839,-30.58921641
2010-09-30,22.51761905,14.64926619,6.857861426,0.194666667,-30.74298356
2010-10-31,20.37333333,14.65043895,6.867317586,0.191290323,-30.00763693
2010-11-30,20.09571429,14.65641794,6.878213434,0.194333333,-34.41248235
2010-12-31,17.56954545,14.68792957,6.886930133,0.183225806,-28.98190976
2011-01-31,17.3155,14.70882801,6.886442262,0.168387097,-26.77610032
2011-02-28,17.43,14.73299947,6.894758688,0.156785714,-25.6192661
2011-03-31,20.72347826,14.76555362,6.908449838,0.138709677,-25.6172224
2011-04-30,16.244,14.79860453,6.91707769,0.098,-26.37585959
2011-05-31,16.91142857,14.82677141,6.92428245,0.093870968,-25.22653204
2011-06-30,19.15318182,14.85572592,6.931009394,0.092,-26.18189636
2011-07-31,19.2275,14.87008858,6.936896761,0.070967742,-25.07054487
2011-08-31,35.02913043,14.86709168,6.940261578,0.095806452,-25.02585152
2011-09-30,36.53,14.86553361,6.945761312,0.084,-25.02232937
2011-10-31,32.82904762,14.86445963,6.949021255,0.070645161,-23.10523226
2011-11-30,31.94190476,14.85434531,6.9615146,0.081,-21.18963617
2011-12-31,25.04761905,14.87723053,6.972049161,0.071612903,-20.25058505
2012-01-31,20.228,14.88502062,6.975124867,0.081935484,-18.48627933
2012-02-29,18.4205,14.89048909,6.984898711,0.103793103,-18.48939653
2012-03-31,16.16727273,14.87582284,6.998661457,0.126774194,-17.63805895
2012-04-30,17.823,14.86936159,7.003045231,0.139333333,-17.64124235
2012-05-31,21.00181818,14.86504205,7.006395001,0.155806452,-17.67046112
2012-06-30,21.13095238,14.86768459,7.010803849,0.161666667,-17.67261482
2012-07-31,17.56238095,14.86586888,7.015493142,0.156451613,-17.69107676
2012-08-31,15.68956522,14.8578405,7.017386243,0.132258065,-16.94289672
2012-09-30,15.28473684,14.85150674,7.026771998,0.144333333,-14.53476294
2012-10-31,16.27619048,14.85445465,7.034055364,0.158387097,-14.4523014
2012-11-30,16.70190476,14.86550649,7.046664249,0.160666667,-13.73669601
2012-12-31,17.3445,14.8806176,7.053322296,0.164516129,-15.30670522
2013-01-31,13.5052381,14.90273357,7.056246316,0.142580645,-16.16455047
2013-02-28,14.07263158,14.9367768,7.06011965,0.145,-13.87059038
2013-03-31,13.0315,14.96950591,7.068473275,0.143548387,-12.50395649
2013-04-30,13.96727273,14.99853691,7.071930686,0.145,-13.29569469
2013-05-31,13.49363636,15.02625552,7.077519825,0.109032258,-12.57811864
2013-06-30,17.2715,15.05099853,7.08145078,0.093666667,-12.51138232
2013-07-31,13.97454545,15.07856716,7.087223435,0.092580645,-11.12697618
2013-08-31,14.21,15.10486758,7.089074876,0.082903226,-10.42733136
2013-09-30,14.692,15.1219786,7.095335899,0.08,-10.43778712
2013-10-31,15.40782609,15.15062099,7.101202054,0.087096774,-10.46501135
2013-11-30,12.924,15.17594485,7.107298111,0.084333333,-8.575175647
2013-12-31,14.19238095,15.19975394,7.115001942,0.08516129,-7.406970197
2014-01-31,14.24095238,15.21784582,7.116094911,0.071612903,-6.970155406
2014-02-28,15.47,15.23487424,7.120876373,0.066428571,-7.558017817
2014-03-31,14.83666667,15.25072454,7.140124939,0.078064516,-7.464860238
2014-04-30,14.19809524,15.26745145,7.146872647,0.090333333,-4.932250484
2014-05-31,12.4752381,15.27934484,7.151444907,0.087096774,-5.344508362
2014-06-30,11.54142857,15.28616543,7.154127152,0.095666667,-4.489916377
2014-07-31,12.29636364,15.29602432,7.158377801,0.090967742,-4.890986402
2014-08-31,13.49190476,15.30101057,7.160460157,0.088064516,-4.503361693
2014-09-30,13.46666667,15.30535565,7.162996155,0.088333333,-3.696257576
2014-10-31,18.05869565,15.31282706,7.165521914,0.089032258,-3.064623463
2014-11-30,13.41315789,15.3170386,7.177394746,0.092,-3.477355099
2014-12-31,16.29227273,15.31889545,7.190448578,0.122580645,-2.841205758
